iter	Passed	Remaining
652	5792	3078
653	5799	3068
654	5808	3059
655	5815	3049
656	5823	3040
657	5830	3030
658	5838	3021
659	5845	3011
660	5853	3002
661	5860	2992
662	5867	2982
663	5874	2972
664	5881	2962
665	5889	2953
666	5896	2943
667	5905	2934
668	5912	2925
669	5920	2916
670	5928	2906
671	5936	2897
672	5943	2887
673	5951	2878
674	5958	2869
675	5966	2859
676	5973	2849
677	5980	2840
678	5989	2831
679	5996	2821
680	6003	2812
681	6010	2802
682	6019	2793
683	6027	2784
684	6035	2775
685	6042	2765
686	6050	2756
687	6057	2747
688	6065	2737
689	6072	2728
690	6079	2718
691	6086	2709
692	6094	2699
693	6101	2690
694	6108	2680
695	6117	2671
696	6124	2662
697	6133	2653
698	6140	2644
699	6149	2635
700	6156	2625
701	6164	2616
702	6171	2607
703	6180	2598
704	6187	2589
705	6195	2580
706	6203	2570
707	6210	2561
708	6218	2552
709	6225	2542
710	6234	2534
711	6241	2524
712	6249	2515
713	6258	2506
714	6267	2498
715	6274	2488
716	6282	2479
717	6289	2470
718	6297	2461
719	6304	2451
720	6312	2442
721	6319	2433
722	6328	2424
723	6334	2414
724	6342	2405
725	6351	2396
726	6359	2387
727	6366	2378
728	6374	2369
729	6382	2360
730	6389	2351
731	6397	2342
732	6404	2332
733	6411	2323
734	6418	2314
735	6426	2305
736	6433	2295
737	6441	2286
738	6450	2278
739	6458	2269
740	6465	2259
741	6473	2250
742	6480	2241
743	6488	2232
744	6495	2223
745	6502	2214
746	6510	2205
747	6518	2196
748	6527	2187
749	6535	2178
750	6544	2169
751	6552	2160
752	6560	2151
753	6567	2142
754	6575	2133
755	6582	2124
756	6590	2115
757	6597	2106
758	6605	2097
759	6612	2088
760	6620	2079
761	6627	2069
762	6635	2060
763	6642	2051
764	6649	2042
765	6658	2033
766	6665	2024
767	6672	2015
768	6679	2006
769	6688	1997
770	6695	1988
771	6703	1979
772	6710	1970
773	6718	1961
774	6725	1952
775	6733	1943
776	6740	1934
777	6748	1925
778	6757	1917
779	6767	1908
780	6787	1903
781	6800	1895
782	6808	1887
783	6819	1878
784	6837	1872
785	6853	1866
786	6863	1857
787	6872	1848
788	6890	1842
789	6901	1834
790	6910	1825
791	6920	1817
792	6928	1808
793	6935	1799
794	6943	1790
795	6950	1781
796	6957	1772
797	6967	1763
798	6974	1754
799	6983	1745
800	6990	1736
801	6998	1727
802	7005	1718
803	7014	1709
804	7021	1700
805	7030	1692
806	7036	1682
807	7045	1674
808	7052	1664
809	7061	1656
810	7069	1647
811	7078	1638
812	7085	1629
813	7093	1620
814	7100	1611
815	7108	1602
816	7115	1593
817	7122	1584
818	7130	1575
819	7137	1566
820	7146	1558
821	7154	1549
822	7163	1540
823	7170	1531
824	7180	1523
825	7188	1514
826	7196	1505
827	7203	1496
828	7211	1487
829	7218	1478
830	7226	1469
831	7235	1460
832	7245	1452
833	7256	1444
834	7264	1435
835	7279	1428
836	7301	1421
837	7324	1416
838	7336	1407
839	7347	1399
840	7356	1390
841	7365	1382
842	7374	1373
843	7381	1364
844	7390	1355
845	7397	1346
846	7406	1337
847	7413	1328
848	7423	1320
849	7430	1311
850	7439	1302
851	7446	1293
852	7454	1284
853	7461	1275
854	7470	1266
855	7477	1257
856	7486	1249
857	7493	1240
858	7501	1231
859	7508	1222
860	7516	1213
861	7523	1204
862	7531	1195
863	7540	1186
864	7547	1177
865	7555	1169
866	7562	1160
867	7571	1151
868	7579	1142
869	7586	1133
870	7595	1124
871	7603	1116
872	7611	1107
873	7619	1098
874	7627	1089
875	7634	1080
876	7641	1071
877	7648	1062
878	7656	1054
879	7663	1045
880	7671	1036
881	7678	1027
882	7686	1018
883	7693	1009
